Gene	MG.Sal.WT.1F	MG.Sal.WT.2F	MG.Sal.WT.3M	MG.Sal.WT.4M	MG.Sal.KO.1F	MG.Sal.KO.2F	MG.Sal.KO.3F	MG.LPS.WT.10F	MG.LPS.WT.11F	MG.LPS.WT.12F	MG.LPS.WT.5F	MG.LPS.WT.6F	MG.LPS.WT.11M	MG.LPS.WT.1M	MG.LPS.WT.8M	MG.LPS.WT.9M	MG.LPS.Het.10F	MG.LPS.Het.6F	MG.LPS.Het.9F	MG.LPS.Het.3M	MG.LPS.Het.4M	MG.LPS.Het.5M	MG.LPS.Het.7M	MG.LPS.Het.8M	MG.LPS.KO.12F	MG.LPS.KO.13F	MG.LPS.KO.8F	MG.LPS.KO.9F	MG.LPS.KO.10M	MG.LPS.KO.11M	MG.LPS.KO.14M	PC.Sal.WT.1F	PC.Sal.WT.2F	PC.Sal.WT.3M	PC.Sal.WT.4M	PC.Sal.KO.1F	PC.Sal.KO.2F	PC.Sal.KO.3F	PC.LPS.WT.10F	PC.LPS.WT.11F	PC.LPS.WT.12F	PC.LPS.WT.5F	PC.LPS.WT.6F	PC.LPS.WT.11M	PC.LPS.WT.1M	PC.LPS.WT.8M	PC.LPS.WT.9M	PC.LPS.Het.10F	PC.LPS.Het.6F	PC.LPS.Het.9F	PC.LPS.Het.3M	PC.LPS.Het.4M	PC.LPS.Het.5M	PC.LPS.Het.7M	PC.LPS.Het.8M	PC.LPS.KO.12F	PC.LPS.KO.13F	PC.LPS.KO.8F	PC.LPS.KO.9F	PC.LPS.KO.10M	PC.LPS.KO.11M	PC.LPS.KO.14M
B2m	0.48	0.44	0.46	0.44	0.38	0.46	0.41	0.61	0.69	0.6	0.61	0.39	0.8	0.46	0.63	0.56	0.57	0.68	0.65	0.47	0.58	0.53	0.46	0.6	0.84	0.46	0.6	0.75	0.46	0.61	0.59	0.38	0.45	0.6	0.55	0.56	0.49	0.46	1.03	1.02	0.93	0.79	0.89	1.01	0.39	0.96	0.9	0.93	0.94	0.84	0.88	0.94	0.82	0.76	0.88	0.96	0.76	0.96	1.02	0.84	0.87	0.92
Ctss	1.03	1.04	0.99	1.01	1.09	1.07	1.13	1.16	1.26	1.23	1.21	1.27	1.43	1.12	1.23	1.17	1.24	1.23	1.37	1.19	1.24	1.11	1.01	1.29	1.6	1.38	1.62	1.47	1.26	1.4	1.4	0.11	0.13	0.17	0.14	0.14	0.13	0.16	0.09	0.13	0.08	0.13	0.07	0.1	0.14	0.08	0.11	0.08	0.06	0.08	0.09	0.08	0.12	0.24	0.1	0.09	0.14	0.09	0.14	0.14	0.12	0.13
Ftl1	0.33	0.29	0.26	0.29	0.34	0.32	0.3	0.28	0.27	0.29	0.27	0.38	0.28	0.28	0.29	0.32	0.26	0.27	0.28	0.28	0.27	0.3	0.32	0.32	0.25	0.4	0.27	0.27	0.32	0.34	0.26	0.8	0.71	0.77	0.72	0.82	0.74	0.81	0.89	1.1	0.93	1.03	0.92	1.27	0.83	1.2	1.16	0.94	0.83	0.81	1.15	0.99	1.15	1.17	1.05	0.84	0.95	0.92	0.9	1.07	1.06	1.23
C1qc	1	0.87	0.9	0.98	0.85	0.93	0.9	0.88	0.98	1	0.99	1.05	1.05	0.93	0.98	1.09	1.01	1.04	1.01	0.95	0.98	0.95	0.97	1.09	1.03	1.07	1.02	1.02	0.95	1.07	0.91	0.08	0.22	0.24	0.21	0.24	0.19	0.29	0.01	0.07	0.02	0.06	0.01	0.02	0.08	0.02	0.03	0.02	0.01	0.02	0.03	0.01	0.04	0.16	0.03	0.02	0.19	0.02	0.21	0.07	0.04	0.04
Igkc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0.77	0.23	0.36	0.56	0.38	0.77	2.38	1.57	1.67	1.08	1.45	1.06	0.61	0.75	0.48	1.64	1.17	2.57	0.46	1.69	0.56	0.25	1.21	1.89	0.44	1.81	0.83	0.55	0.61	0.43
Tyrobp	0.63	0.61	0.49	0.48	0.68	0.63	0.49	0.82	0.54	0.56	0.53	0.62	0.56	0.64	0.6	0.66	0.63	0.58	0.45	0.54	0.67	0.65	0.55	0.51	0.54	0.56	0.62	0.46	0.64	0.56	0.6	0.42	0.37	0.41	0.39	0.49	0.46	0.39	0.18	0.24	0.38	0.32	0.33	0.33	0.49	0.43	0.5	0.34	0.36	0.29	0.45	0.36	0.36	0.47	0.39	0.2	0.36	0.29	0.27	0.36	0.39	0.39
Malat1	1.15	0.88	0.6	0.69	1.23	1.06	0.98	0.43	0.5	0.46	0.61	1.52	0.7	1.01	0.55	0.39	0.44	0.34	0.65	0.65	0.59	0.51	0.75	0.46	0.61	0.41	0.77	0.45	0.47	0.36	0.69	0.12	0.17	0.33	0.26	0.16	0.13	0.17	0.14	0.2	0.16	0.25	0.24	0.19	0.3	0.22	0.18	0.35	0.21	0.16	0.17	0.16	0.14	0.11	0.12	0.26	0.2	0.2	0.08	0.14	0.15	0.19
mt-Ts1	0.37	0.22	0.28	0.18	0.33	0.31	0.25	0.22	0.33	0.36	0.38	0.23	0.33	0.4	0.32	0.32	0.27	0.28	0.23	0.28	0.29	0.28	0.29	0.27	0.42	0.19	0.35	0.33	0.3	0.46	0.39	0.66	0.79	1.14	1.26	0.74	0.64	0.79	0.52	0.46	0.46	0.66	0.33	0.55	0.6	0.33	0.37	0.65	0.45	0.5	0.45	0.32	0.34	0.37	0.33	0.71	0.52	0.56	0.41	0.37	0.55	0.35
Lcn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0.02	0.03	0.06	0	0.89	0.44	1.63	0.2	1.38	1.54	0.05	1.96	1.58	1.54	1.94	0.98	1.98	1.41	1.3	0.05	1.33	0.87	0.19	1.43	0.68	0.46	1.26	1.2
C1qa	0.69	0.55	0.6	0.61	0.52	0.62	0.55	0.95	0.79	0.95	0.77	0.48	0.96	0.59	0.96	1.04	1.01	0.98	0.88	0.79	0.81	0.86	0.67	0.98	0.98	0.71	0.81	0.89	0.79	0.98	0.79	0.08	0.14	0.14	0.13	0.15	0.12	0.19	0.01	0.06	0.02	0.04	0.01	0.02	0.05	0.01	0.02	0.01	0	0.02	0.02	0.01	0.03	0.11	0.02	0.02	0.14	0.02	0.16	0.05	0.02	0.03
Actb	0.25	0.2	0.28	0.25	0.18	0.23	0.24	0.22	0.32	0.26	0.27	0.09	0.25	0.18	0.29	0.26	0.24	0.33	0.28	0.2	0.2	0.25	0.25	0.34	0.31	0.3	0.2	0.39	0.28	0.37	0.27	0.36	0.57	0.47	0.45	0.54	0.6	0.45	0.55	0.62	0.42	0.43	0.51	0.5	0.37	0.6	0.54	0.45	0.53	0.48	0.47	0.53	0.85	0.81	0.66	0.36	0.53	0.44	0.59	0.72	0.66	0.59
Wfdc17	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0.01	0.01	1.24	0.68	0.88	0.94	0.85	1.06	0.69	0.45	0.64	0.69	0.44	0.59	0.56	2	0.72	0.81	0.62	0.58	0.46	0.69	0.58	0.82	0.87	0.68	0.56	1.04	0.54	1.32	0.89	0.67	0.61
Itm2b	0.73	0.72	0.74	0.71	0.61	0.69	0.62	0.44	0.51	0.47	0.56	0.58	0.49	0.7	0.46	0.5	0.48	0.49	0.47	0.41	0.49	0.48	0.7	0.45	0.48	0.73	0.49	0.46	0.52	0.47	0.49	0.15	0.19	0.19	0.17	0.24	0.2	0.23	0.1	0.14	0.11	0.13	0.11	0.11	0.17	0.11	0.13	0.1	0.1	0.1	0.12	0.11	0.13	0.25	0.11	0.09	0.18	0.11	0.17	0.15	0.13	0.13
Gm28437	0.3	0.21	0.24	0.14	0.23	0.17	0.17	0.23	0.26	0.3	0.35	0.15	0.24	0.27	0.27	0.27	0.24	0.3	0.23	0.21	0.29	0.29	0.23	0.24	0.31	0.16	0.25	0.33	0.35	0.36	0.3	0.57	0.71	0.76	0.76	0.62	0.54	0.68	0.38	0.38	0.29	0.54	0.22	0.36	0.38	0.17	0.25	0.39	0.27	0.35	0.23	0.24	0.23	0.38	0.28	0.46	0.5	0.41	0.39	0.34	0.35	0.29
Ctsb	0.42	0.43	0.43	0.43	0.35	0.42	0.41	0.46	0.45	0.46	0.43	0.46	0.49	0.42	0.46	0.47	0.44	0.44	0.44	0.4	0.41	0.45	0.43	0.44	0.43	0.46	0.4	0.4	0.41	0.44	0.41	0.2	0.21	0.29	0.24	0.27	0.27	0.22	0.15	0.25	0.17	0.22	0.17	0.19	0.2	0.2	0.24	0.14	0.12	0.12	0.21	0.17	0.27	0.45	0.19	0.16	0.31	0.15	0.33	0.29	0.24	0.27
H2-D1	0.12	0.1	0.08	0.08	0.09	0.1	0.08	0.19	0.16	0.18	0.14	0.13	0.28	0.08	0.16	0.14	0.15	0.18	0.21	0.14	0.17	0.12	0.09	0.17	0.25	0.11	0.19	0.18	0.1	0.16	0.12	0.31	0.43	0.46	0.38	0.58	0.46	0.45	0.53	0.57	0.54	0.56	0.6	0.56	0.31	0.59	0.54	0.49	0.55	0.49	0.57	0.6	0.62	0.51	0.5	0.48	0.5	0.54	0.55	0.48	0.46	0.52
Fcer1g	0.32	0.28	0.27	0.28	0.27	0.27	0.26	0.37	0.38	0.37	0.35	0.33	0.41	0.33	0.37	0.4	0.36	0.38	0.35	0.31	0.38	0.36	0.31	0.36	0.38	0.29	0.35	0.38	0.35	0.39	0.37	0.19	0.12	0.2	0.19	0.16	0.18	0.12	0.21	0.2	0.39	0.22	0.37	0.38	0.21	0.53	0.57	0.37	0.43	0.28	0.49	0.39	0.41	0.34	0.41	0.2	0.2	0.32	0.2	0.33	0.46	0.51
Cd74	0.02	0.03	0.01	0.01	0.02	0.01	0.01	0.04	0.01	0.04	0.03	0.02	0.09	0.01	0.03	0.03	0.02	0.04	0.04	0.03	0.03	0.02	0.02	0.03	0.05	0.02	0.03	0.02	0.01	0.03	0.02	1.07	1.24	0.73	0.82	1.01	0.69	1.37	0.67	0.84	0.44	1.08	0.54	0.43	0.6	0.3	0.18	0.63	0.58	0.68	0.27	0.62	0.27	0.47	0.37	0.67	0.62	0.69	0.63	0.37	0.24	0.24
Ly6e	0.24	0.19	0.22	0.23	0.18	0.22	0.2	0.36	0.5	0.49	0.45	0.36	0.54	0.26	0.43	0.45	0.43	0.53	0.52	0.39	0.44	0.39	0.26	0.5	0.56	0.28	0.44	0.59	0.39	0.51	0.4	0.23	0.24	0.19	0.2	0.22	0.18	0.24	0.31	0.38	0.25	0.33	0.24	0.25	0.16	0.21	0.21	0.27	0.26	0.28	0.22	0.25	0.21	0.31	0.23	0.27	0.26	0.28	0.4	0.24	0.23	0.22
Laptm5	0.54	0.49	0.63	0.66	0.45	0.48	0.55	0.23	0.41	0.4	0.45	0.34	0.37	0.56	0.33	0.41	0.34	0.41	0.45	0.35	0.33	0.35	0.57	0.45	0.43	0.64	0.36	0.53	0.42	0.48	0.37	0.1	0.25	0.32	0.27	0.41	0.42	0.26	0.08	0.1	0.09	0.12	0.08	0.09	0.06	0.07	0.08	0.09	0.08	0.08	0.08	0.08	0.1	0.16	0.08	0.09	0.21	0.08	0.19	0.12	0.08	0.08
